ticket_id,created_at,first_response_at,resolved_at,channel,category,subcategory,status,priority,summary,root_cause_tag,next_action
"CX-202608-0120","2026-08-01 08:56:33","2026-08-01 10:40:33","2026-08-01 19:29:45","앱 리뷰","결제·환불","환불 기준","해결","일반","환불 신청 기한과 제외 조건을 확인 요청 (안내 확인 후)","환불 안내 부족 가능성","이용 이력과 환불 기준 확인 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0329","2026-08-01 11:34:13","2026-08-01 16:33:13","2026-08-01 18:56:04","앱 리뷰","해지·변경","구독 해지","해결","일반","구독 해지 후 남은 기간에도 이용할 수 있는지 문의 (모바일 이용)","해지 안내 부족 가능성","해지 상태와 잔여 이용 기간 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0318","2026-08-01 12:44:48","2026-08-01 14:00:48","2026-08-02 06:22:13","채팅","해지·변경","플랜 변경","해결","일반","이용 중인 플랜을 변경하면 언제 적용되는지 문의 (웹 이용)","변경 조건 확인 필요","플랜 적용 시점과 차액 기준 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0209","2026-08-01 13:47:35","2026-08-01 14:07:35","2026-08-01 20:59:20","이메일","서비스 이용","기능 사용법","해결","일반","도움말을 읽었지만 기능 실행 위치를 찾지 못함 (이용 중 확인)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0237","2026-08-01 20:50:17","2026-08-01 21:52:17","2026-08-02 06:00:35","이메일","서비스 이용","이용 방법","해결","높음","이용 이력을 다시 확인하는 방법을 문의 (이용 중 확인)","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0407","2026-08-01 21:04:27","2026-08-01 22:40:27","2026-08-02 19:04:49","이메일","의견·요청","신규 기능 요청","해결","일반","이용 현황을 한눈에 확인하는 기능을 제안 (모바일 이용)","추가 수요 확인 필요","요청 목적 기록 및 기존 대안 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0260","2026-08-01 21:10:41","2026-08-01 21:55:41","2026-08-02 07:57:49","이메일","서비스 이용","기능 사용법","해결","높음","주요 기능을 처음 사용하는 순서를 문의 (설정 화면 확인 중)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0346","2026-08-02 08:11:46","2026-08-02 08:55:46","2026-08-02 10:54:07","채팅","해지·변경","서비스 종료 절차","해결","일반","종료 신청을 취소할 수 있는 기간을 문의","종료 절차 안내 확인 필요","종료 절차와 사전 확인 항목 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0073","2026-08-02 10:53:28","2026-08-02 12:19:28","2026-08-05 09:33:20","이메일","가입·온보딩","인증 완료","해결","일반","인증 완료 안내 후 다음 진행 방법을 문의 (모바일 이용)","완료 상태 노출 확인 필요","인증 완료 상태와 후속 단계 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0189","2026-08-02 12:52:33","2026-08-02 14:45:33","2026-08-02 23:51:03","채팅","서비스 이용","설정 변경","해결","일반","기본 설정으로 되돌리는 방법을 문의 (모바일 이용)","설정 안내 경로 확인 필요","설정 저장 조건과 변경 경로 안내 결과 기록 및 재문의 여부 확인"
